epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,915.033,0.30287,0.43423,0.40336,0.89524,0,0.98087,0.97383,0.98602,0.95003,0.99917,0.9744,0.98892,0.93842,0.2792,0.4025,0.41081,0.82628,0,0.000924352,0.000924352,0.000924352
29,946.291,0.29948,0.42198,0.39781,0.90596,0,0.9857,0.9731,0.98488,0.95901,0.9919,0.986,0.98981,0.94064,0.29131,0.42914,0.40177,0.83918,0,0.000896846,0.000896846,0.000896846
30,977.817,0.28628,0.46997,0.37421,0.90483,0,0.99171,0.98501,0.98359,0.94693,0.99793,0.99126,0.99,0.92665,0.29236,0.45821,0.39477,0.83622,0,0.00086934,0.00086934,0.00086934
31,1009.24,0.28831,0.43464,0.36887,0.90501,0,0.99221,0.96739,0.98879,0.95408,0.99858,0.97357,0.98915,0.93883,0.28457,0.38328,0.39103,0.83095,0,0.000841835,0.000841835,0.000841835
32,1040.57,0.29909,0.4412,0.3851,0.89904,0,0.99147,0.96801,0.98862,0.9642,0.99784,0.97422,0.98946,0.9395,0.25105,0.40971,0.40151,0.80544,0,0.000814329,0.000814329,0.000814329
33,1072.56,0.29657,0.40888,0.38301,0.90107,0,0.99282,0.97894,0.98745,0.95913,0.99908,0.98517,0.98994,0.93337,0.26031,0.4209,0.36949,0.80879,0,0.000786824,0.000786824,0.000786824
34,1105.02,0.28395,0.41643,0.3535,0.89041,0,0.99352,0.97939,0.98782,0.93698,0.99981,0.98562,0.98994,0.93719,0.30028,0.43209,0.37211,0.82809,0,0.000759318,0.000759318,0.000759318
35,1139.1,0.27962,0.40732,0.36571,0.89043,0,0.98834,0.97444,0.98163,0.94004,0.99461,0.98068,0.98321,0.92119,0.30349,0.46813,0.40575,0.83632,0,0.000731813,0.000731813,0.000731813
36,1169.3,0.28107,0.39624,0.37045,0.88766,0,0.98496,0.96205,0.97852,0.94013,0.99943,0.97778,0.98199,0.91932,0.30384,0.57478,0.38766,0.84522,0,0.000704307,0.000704307,0.000704307
37,1199.02,0.25799,0.4087,0.34842,0.88799,0,0.98906,0.9625,0.98719,0.94741,0.99544,0.96875,0.98694,0.93315,0.27812,0.41613,0.38898,0.82709,0,0.000676802,0.000676802,0.000676802
38,1230.83,0.26915,0.39284,0.35838,0.88204,0,0.98967,0.96875,0.98665,0.95337,0.99461,0.96875,0.98906,0.93177,0.28366,0.42165,0.40132,0.82261,0,0.000649297,0.000649297,0.000649297
39,1263.86,0.25582,0.40226,0.3309,0.87439,0,0.9842,0.96484,0.98598,0.96651,0.99067,0.97106,0.98666,0.9297,0.25359,0.38786,0.36578,0.80942,0,0.000621791,0.000621791,0.000621791
40,1297.09,0.2563,0.37837,0.32304,0.88623,0,0.98422,0.95625,0.98476,0.96344,0.99517,0.97499,0.98585,0.93314,0.23248,0.43445,0.34756,0.79689,0,0.000594286,0.000594286,0.000594286
