epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,784.781,0.34445,0.45042,0.37313,0.85906,0,0.99815,0.96296,0.98341,0.96725,0.99815,0.96296,0.98558,0.93329,0.21527,0.44089,0.26506,0.76783,0,0.000924352,0.000924352,0.000924352
29,812.061,0.34271,0.77199,0.4356,0.85349,0,0.99173,0.96263,0.98733,0.96914,0.99173,0.96263,0.98276,0.92826,0.23187,0.43615,0.27516,0.76262,0,0.000896846,0.000896846,0.000896846
30,839.343,0.32216,0.44354,0.38397,0.85345,0,0.99113,0.96296,0.98344,0.96756,0.99113,0.96296,0.98198,0.93758,0.22036,0.42673,0.26064,0.76557,0,0.00086934,0.00086934,0.00086934
31,867.004,0.33413,0.43387,0.39721,0.85809,0,0.99118,0.96826,0.98535,0.97258,0.99192,0.96287,0.98593,0.93717,0.1962,0.39659,0.24112,0.76022,0,0.000841835,0.000841835,0.000841835
32,894.563,0.31841,0.44176,0.37204,0.85561,0,0.99783,0.96178,0.98711,0.96838,0.99745,0.96898,0.98599,0.93274,0.18714,0.38804,0.2432,0.75853,0,0.000814329,0.000814329,0.000814329
33,922.266,0.30506,0.40724,0.34708,0.84999,0,0.9982,0.95679,0.98129,0.96804,0.9982,0.95679,0.98532,0.94139,0.19554,0.36549,0.23926,0.75887,0,0.000786824,0.000786824,0.000786824
34,949.373,0.30574,0.40762,0.33227,0.85805,0,0.99752,0.956,0.98309,0.97351,0.99752,0.956,0.98061,0.93571,0.18486,0.41444,0.24216,0.75554,0,0.000759318,0.000759318,0.000759318
35,976.355,0.30226,0.43069,0.3362,0.84538,0,0.99821,0.96296,0.98334,0.97106,0.99821,0.96296,0.98563,0.93334,0.18614,0.39751,0.23377,0.75478,0,0.000731813,0.000731813,0.000731813
36,1003.61,0.28113,0.39318,0.32464,0.85576,0,0.99852,0.95679,0.98226,0.96714,0.99852,0.95679,0.98542,0.9383,0.21952,0.41974,0.2476,0.76328,0,0.000704307,0.000704307,0.000704307
37,1031.4,0.29499,0.37489,0.31943,0.84522,0,0.99815,0.95679,0.9829,0.97037,0.99815,0.95679,0.98436,0.93958,0.18829,0.37679,0.21904,0.75846,0,0.000676802,0.000676802,0.000676802
38,1058.36,0.27229,0.35936,0.30322,0.84954,0,0.99703,0.9623,0.98195,0.97183,0.99703,0.9623,0.98569,0.94071,0.18612,0.40217,0.20926,0.75342,0,0.000649297,0.000649297,0.000649297
39,1085.59,0.26995,0.3713,0.31152,0.84571,0,0.99682,0.96247,0.98132,0.96931,0.99682,0.96247,0.98367,0.94691,0.18182,0.43898,0.21482,0.7567,0,0.000621791,0.000621791,0.000621791
40,1112.78,0.2699,0.38154,0.30437,0.84563,0,0.9972,0.96228,0.98235,0.9717,0.9972,0.96228,0.98086,0.94781,0.18796,0.38806,0.22248,0.75873,0,0.000594286,0.000594286,0.000594286
41,1140.12,0.2668,0.36724,0.29663,0.84829,0,0.99846,0.96184,0.98527,0.96902,0.99846,0.96184,0.98274,0.94059,0.18479,0.39435,0.20147,0.75731,0,0.00056678,0.00056678,0.00056678
42,1167.36,0.26784,0.36897,0.30268,0.85447,0,0.9982,0.9623,0.98424,0.96858,0.9982,0.9623,0.98206,0.94262,0.18544,0.38542,0.20243,0.75578,0,0.000539275,0.000539275,0.000539275
